price,bedrooms,bathrooms,size_sqft,property_type,location,furnishing,price_category,days_on_market,verified
9448437.5,4.0,5.0,5200.0,Residential For Sale,Entertainment Foyer,NO,Luxury,468,True
3150000.0,3.0,4.0,2842.0,Residential For Sale,Arabella Townhouses 2,NO,Medium,467,True
1273957.0,1.0,2.0,943.0,Residential For Sale,Curve by Sentro,NO,Medium,449,True
2500000.0,3.0,4.0,1990.0,Residential For Sale,Greenview,NO,Medium,454,True
3150000.0,2.0,3.0,1690.0,Residential For Sale,Springs 4,NO,Medium,482,True
3500000.0,2.0,3.0,1559.0,Residential For Sale,Dubai Creek Residence Tower 2 North,NO,Medium,465,True
2600000.0,2.0,2.0,1082.0,Residential For Sale,Harbour Gate Tower 1,NO,Medium,466,True
780000.0,1.0,1.0,658.0,Residential For Sale,Joya Verde Residences,NO,low-economy,468,True
4550000.0,2.0,3.0,2690.0,Residential For Sale,Mediterranean Villas,NO,Medium,558,True
5199000.0,2.0,3.0,2690.0,Residential For Sale,Mediterranean Villas,NO,Luxury,523,True
6500000.0,2.0,3.0,1362.0,Residential For Sale,The Address Residence Fountain Views 2,NO,Luxury,487,True
5990000.0,3.0,5.0,1755.0,Residential For Sale,Yansoon 8,YES,Luxury,633,True
1250000.0,1.0,2.0,767.0,Residential For Sale,Oxford Boulevard,YES,Medium,458,True
3250000.0,4.0,4.0,2547.0,Residential For Sale,Nima,NO,Medium,467,True
2200000.0,2.0,4.0,1291.0,Residential For Sale,Continental Tower,NO,Medium,460,True
1500000.0,3.0,3.0,2064.0,Residential For Sale,Just Cavalli Villas,NO,Medium,457,True
1350000.0,1.0,1.0,605.0,Residential For Sale,Oxford 212,NO,Medium,458,True
1900000.0,2.0,2.0,1331.0,Residential For Sale,Al Thayyal 1,NO,Medium,460,True
3400000.0,2.0,3.0,1794.0,Residential For Sale,Springs 3,NO,Medium,453,True
4500000.0,2.0,4.0,2692.0,Residential For Sale,Arabian Villas,NO,Medium,453,True
2089000.0,3.0,5.0,2160.0,Residential For Sale,Hayyan,PARTLY,Medium,451,False
7800000.0,3.0,4.0,1982.0,Residential For Sale,Marina Vista,NO,Luxury,552,True
1150000.0,3.0,3.0,1208.0,Residential For Sale,Aknan Villas,NO,Medium,503,True
2875000.0,3.0,3.0,1946.0,Residential For Sale,La Rosa 5,NO,Medium,488,True
2593860.0,2.0,3.0,5796.375,Residential For Sale,Jebel Ali Hills,NO,Medium,450,False
4700000.0,2.0,3.0,2690.0,Residential For Sale,Mediterranean Villas,NO,Medium,475,True
6500000.0,4.0,5.0,5659.0,Residential For Sale,Legacy,NO,Luxury,472,True
4100000.0,4.0,5.0,2524.0,Residential For Sale,Mira 1,NO,Medium,460,True
2150000.0,1.0,2.0,922.0,Residential For Sale,Acacia C,NO,Medium,473,True
4890000.0,4.0,5.0,3099.0,Residential For Sale,Senses at the Fields,NO,Medium,474,True
2350000.0,3.0,4.0,1559.0,Residential For Sale,Raya,NO,Medium,492,True
900000.0,1.0,1.0,739.0,Residential For Sale,Rukan 3,NO,low-economy,464,True
4000000.0,1.0,2.0,3153.0,Residential For Sale,Seventh Heaven,NO,Medium,472,True
4000000.0,3.0,5.0,2723.0,Residential For Sale,Rockwood,YES,Medium,495,True
800000.0,1.0,2.0,650.0,Residential For Sale,The Hamilton,NO,low-economy,528,True
2650000.0,1.0,2.0,830.0,Residential For Sale,Marina Gate 2,NO,Medium,466,True
990000.0,1.0,1.0,536.0,Residential For Sale,Sobha Orbis,YES,low-economy,465,False
1549999.0,2.0,3.0,1326.0,Residential For Sale,Carson C,NO,Medium,524,True
1300000.0,4.0,6.0,3100.0,Residential For Sale,Al Zaheya Gardens,NO,Medium,454,False
2790000.0,1.0,1.0,742.0,Residential For Sale,Marina Vista,NO,Medium,516,True
730000.0,1.0,2.0,654.0,Residential For Sale,Afnan 4,NO,low-economy,454,True
6100000.0,4.0,5.0,3023.0,Residential For Sale,Marina Crown,YES,Luxury,453,True
385000.0,2.0,1.0,354.0,Residential For Sale,The Riff,PARTLY,low-economy,447,False
1175000.0,1.0,2.0,774.0,Residential For Sale,Saba Tower 2,YES,Medium,458,True
5190000.0,2.0,2.0,2690.0,Residential For Sale,Mediterranean Villas,NO,Luxury,481,True
3150000.0,2.0,2.0,1183.0,Residential For Sale,5242 Tower 1,NO,Medium,454,True
4000000.0,2.0,3.0,1845.0,Residential For Sale,Burj Daman,NO,Medium,479,True
870000.0,2.0,1.0,471.0,Residential For Sale,Residences D,NO,low-economy,481,True
6900000.0,4.0,5.0,5796.375,Residential For Sale,Murooj Al Furjan,NO,Luxury,449,True
1240000.0,2.0,1.0,475.0,Residential For Sale,Canal Heights,NO,Medium,482,True
1650000.0,3.0,5.0,1895.0,Residential For Sale,Casablanca Boutique Villas,NO,Medium,458,True
3150000.0,4.0,4.0,2890.0,Residential For Sale,Reem Townhouses,NO,Medium,473,True
9448437.5,5.0,4.0,5500.0,Residential For Sale,Saheel,NO,Luxury,468,True
700000.0,2.0,1.0,489.0,Residential For Sale,Luma21,NO,low-economy,496,True
9448437.5,5.0,6.0,5796.375,Residential For Sale,Meadows 2,NO,Luxury,453,True
650000.0,2.0,1.0,752.0,Residential For Sale,Mulberry 2,YES,low-economy,450,True
9448437.5,4.0,5.0,4248.0,Residential For Sale,Alvorada 3,YES,Luxury,468,True
9448437.5,3.0,4.0,3920.0,Residential For Sale,Cavalli Casa Tower,PARTLY,Luxury,461,False
1199500.0,1.0,2.0,606.0,Residential For Sale,AZIZI Riviera,NO,Medium,493,True
5650000.0,3.0,3.0,2291.0,Residential For Sale,Me Do Re Tower,YES,Luxury,480,True
9448437.5,5.0,6.0,5796.375,Residential For Sale,Garden Homes Frond D,YES,Luxury,457,True
3650000.0,2.0,2.0,1282.0,Residential For Sale,Sunrise Bay Podium,YES,Medium,453,True
9448437.5,2.0,3.0,3386.0,Residential For Sale,Zaafaran 3,NO,Luxury,460,True
2750000.0,3.0,4.0,1990.0,Residential For Sale,Shams 2,NO,Medium,478,True
6300000.0,4.0,5.0,4940.0,Residential For Sale,Ixora,NO,Luxury,482,True
3450000.0,3.0,3.0,1569.0,Residential For Sale,The Cove II Building 4,NO,Medium,512,True
2500000.0,2.0,3.0,1268.0,Residential For Sale,Bahar 4,YES,Medium,453,True
1400000.0,2.0,2.0,1171.0,Residential For Sale,MILANO by Giovanni Botique Suites,YES,Medium,493,True
520000.0,2.0,2.0,1172.0,Residential For Sale,Gulf Tower,NO,low-economy,459,False
3000000.0,1.0,1.0,920.0,Residential For Sale,La Vie,NO,Medium,506,True
700000.0,2.0,1.0,304.0,Residential For Sale,AZIZI Riviera,NO,low-economy,464,True
9448437.5,4.0,5.0,5500.0,Residential For Sale,Garden Hall,NO,Luxury,464,True
720000.0,1.0,1.0,626.0,Residential For Sale,Cloud Tower,YES,low-economy,459,True
2550000.0,3.0,4.0,1910.0,Residential For Sale,Sadaf 8,NO,Medium,500,True
3350000.0,3.0,4.0,2043.0,Residential For Sale,Topanga,NO,Medium,478,True
9000000.0,4.0,4.0,4354.0,Residential For Sale,Rosa,NO,Luxury,465,True
1000000.0,1.0,2.0,681.0,Residential For Sale,Binghatti Onyx,NO,low-economy,496,True
9448437.5,4.0,6.0,4880.0,Residential For Sale,The S Tower,NO,Luxury,718,True
2399000.0,4.0,5.0,2709.0,Residential For Sale,Hayyan,PARTLY,Medium,465,False
1400000.0,2.0,2.0,1556.0,Residential For Sale,Xanadu Residence 2,NO,Medium,501,True
9448437.5,7.0,7.0,5796.375,Residential For Sale,Belair Damac Hills - By Trump Estates,NO,Luxury,478,True
2700000.0,2.0,3.0,1208.0,Residential For Sale,The Highbury,PARTLY,Medium,479,True
5800000.0,2.0,3.0,2639.0,Residential For Sale,Ashjar,YES,Luxury,503,True
3100000.0,4.0,3.0,2422.0,Residential For Sale,Greenview,NO,Medium,459,True
1250000.0,1.0,2.0,781.0,Residential For Sale,Hamilton House,PARTLY,Medium,466,True
1499000.0,1.0,1.0,803.0,Residential For Sale,The Links West Tower,NO,Medium,482,True
850000.0,1.0,2.0,947.0,Residential For Sale,Botanica,NO,low-economy,496,True
2550000.0,3.0,3.0,1485.0,Residential For Sale,Park Residence 1,NO,Medium,625,True
9448437.5,3.0,4.0,3223.0,Residential For Sale,Five Luxe JBR,NO,Luxury,460,True
7795000.0,3.0,3.0,3324.0,Residential For Sale,Savannah 1,NO,Luxury,453,True
4399000.0,3.0,4.0,1931.0,Residential For Sale,Dubai Creek Residence Tower 2 South,NO,Medium,473,True
6200000.0,3.0,4.0,2904.0,Residential For Sale,Springs 15,NO,Luxury,486,True
450000.0,2.0,1.0,371.0,Residential For Sale,Tower 24,NO,low-economy,485,True
3099000.0,4.0,4.0,2594.0,Residential For Sale,Khor Fakkan,PARTLY,Medium,643,False
1650000.0,2.0,3.0,1156.0,Residential For Sale,Sama Residences,NO,Medium,562,False
780000.0,1.0,1.0,650.0,Residential For Sale,Rimal Residences,NO,low-economy,605,False
3400000.0,4.0,5.0,3482.0,Residential For Sale,The Pulse Beachfront,NO,Medium,486,True
2099000.0,2.0,3.0,1765.0,Residential For Sale,Khor Fakkan,PARTLY,Medium,595,False
5410000.0,4.0,4.0,4402.0,Residential For Sale,Saro,PARTLY,Luxury,557,False
510000.0,2.0,1.0,543.0,Residential For Sale,Blue Pearls,NO,low-economy,588,False
2150000.0,3.0,4.0,1515.0,Residential For Sale,Seven City JLT,YES,Medium,503,True
725000.0,2.0,1.0,388.0,Residential For Sale,Seven City JLT,YES,low-economy,501,True
3000000.0,2.0,2.0,1109.0,Residential For Sale,Forte 1,NO,Medium,450,True
9448437.5,6.0,3.0,5796.375,Residential For Sale,Sanctuary Falls,NO,Luxury,478,True
1000000.0,1.0,2.0,979.0,Residential For Sale,Lake Point Tower,YES,low-economy,450,True
883000.0,1.0,3.0,960.0,Residential For Sale,Faradis Tower,PARTLY,low-economy,465,False
8500000.0,5.0,5.0,5796.375,Residential For Sale,Ponderosa,NO,Luxury,451,True
2300000.0,3.0,4.0,2025.0,Residential For Sale,Nara,NO,Medium,473,True
9448437.5,4.0,5.0,5307.0,Residential For Sale,Entertainment Foyer,YES,Luxury,467,True
5300000.0,4.0,4.0,1894.0,Residential For Sale,Rimal 2,YES,Luxury,457,True
2000000.0,1.0,2.0,832.0,Residential For Sale,Silverene Tower B,NO,Medium,466,True
8290000.0,3.0,4.0,2000.0,Residential For Sale,Bluewaters Bay Building 1,NO,Luxury,456,True
4190000.0,1.0,1.0,919.0,Residential For Sale,Bluewaters Bay Building 1,NO,Medium,450,True
9448437.5,5.0,5.0,5796.375,Residential For Sale,Wildflower,NO,Luxury,467,True
2830000.0,4.0,5.0,2700.0,Residential For Sale,Saro,PARTLY,Medium,470,False
1990000.0,3.0,4.0,2100.0,Residential For Sale,Hayyan,PARTLY,Medium,470,False
600000.0,2.0,1.0,407.0,Residential For Sale,Carson B,YES,low-economy,488,True
9448437.5,3.0,4.0,4229.0,Residential For Sale,Orla by Omniyat,PARTLY,Luxury,468,True
780000.0,2.0,2.0,1142.0,Residential For Sale,Al Waha,NO,low-economy,526,True
792000.0,2.0,1.0,433.0,Residential For Sale,Fashionz by Danube,YES,low-economy,468,True
2550000.0,2.0,2.0,1115.0,Residential For Sale,Creek Gate Tower 1,YES,Medium,493,True
3500000.0,3.0,3.0,1526.0,Residential For Sale,Surf,NO,Medium,480,True
495000.0,2.0,1.0,378.0,Residential For Sale,Marina Bay by DAMAC,NO,low-economy,528,True
650000.0,2.0,1.0,397.0,Residential For Sale,Beverly Boulevard,NO,low-economy,453,True
6000000.0,2.0,4.0,1752.0,Residential For Sale,Building 19,YES,Luxury,470,True
1569999.0,1.0,1.0,826.0,Residential For Sale,The Lofts Podium,NO,Medium,474,True
1370000.0,2.0,2.0,1091.0,Residential For Sale,Reflection,NO,Medium,545,True
1390000.0,2.0,3.0,1409.0,Residential For Sale,The Belvedere,NO,Medium,459,True
1870000.0,4.0,4.0,2415.0,Residential For Sale,Violet,NO,Medium,456,False
1840896.0,2.0,3.0,1346.0,Residential For Sale,Bloom Living,NO,Medium,454,False
8600000.0,2.0,4.0,1925.0,Residential For Sale,1 JBR,NO,Luxury,486,True
3400000.0,4.0,5.0,2324.0,Residential For Sale,La Rosa 5,NO,Medium,495,True
4500000.0,2.0,2.0,1057.0,Residential For Sale,Burj Royale,YES,Medium,480,True
1250000.0,2.0,1.0,714.0,Residential For Sale,Murjan 2,NO,Medium,453,True
9448437.5,4.0,4.0,5796.375,Residential For Sale,Sienna Lakes,NO,Luxury,447,True
3960000.0,1.0,1.0,828.0,Residential For Sale,Damac Bay 2,NO,Medium,471,True
6300000.0,3.0,4.0,1704.0,Residential For Sale,Marina Vista,YES,Luxury,454,True
8900000.0,6.0,7.0,4843.0,Residential For Sale,Venice,NO,Luxury,550,True
9448437.5,5.0,6.0,5796.375,Residential For Sale,Entertainment Foyer,NO,Luxury,496,True
2850000.0,2.0,2.0,1662.0,Residential For Sale,Sky Gardens,NO,Medium,653,True
1900000.0,1.0,2.0,1140.0,Residential For Sale,Sky Gardens,NO,Medium,607,True
2600000.0,3.0,3.0,1872.0,Residential For Sale,Eden,YES,Medium,475,True
3000000.0,2.0,2.0,2056.0,Residential For Sale,Park Tower B,YES,Medium,562,True
1300000.0,4.0,6.0,3550.0,Residential For Sale,Verdana,NO,Medium,454,False
1999999.0,2.0,3.0,1667.0,Residential For Sale,Lake Terrace,NO,Medium,454,True
1799990.0,2.0,3.0,1526.0,Residential For Sale,Golf Promenade 2B,YES,Medium,473,True
3000000.0,5.0,5.0,3470.0,Residential For Sale,Marbella,NO,Medium,491,True
2250000.0,3.0,4.0,1944.0,Residential For Sale,Parkside 2,NO,Medium,458,True
1000000.0,2.0,2.0,929.0,Residential For Sale,Zahra Apartments 2B,NO,low-economy,457,True
9448437.5,5.0,6.0,5796.375,Residential For Sale,Emerald Hills,NO,Luxury,450,True
3650000.0,3.0,4.0,2745.0,Residential For Sale,Bloom Living,NO,Medium,452,False
3450000.0,3.0,4.0,1748.0,Residential For Sale,Sobha Hartland Waves Opulence,NO,Medium,501,True
1250000.0,4.0,6.0,3100.0,Residential For Sale,Al Yasmeen 1,NO,Medium,449,False
1550000.0,1.0,2.0,800.0,Residential For Sale,Wilton Terraces 1,NO,Medium,615,True
699000.0,1.0,1.0,543.0,Residential For Sale,Radiant Bay,NO,low-economy,493,True
2200000.0,3.0,4.0,1992.0,Residential For Sale,Parkside 2,NO,Medium,528,True
3200000.0,2.0,2.0,1211.0,Residential For Sale,Port de La Mer,NO,Medium,471,True
527276.0,2.0,2.0,1222.0,Residential For Sale,Gulf Tower,PARTLY,low-economy,447,False
1950000.0,2.0,3.0,1255.0,Residential For Sale,Gateway Residences,YES,Medium,452,False
1700000.0,1.0,2.0,804.0,Residential For Sale,Sobha Hartland Waves Opulence,NO,Medium,501,True
2900000.0,2.0,3.0,1502.0,Residential For Sale,Sobha Hartland Waves Opulence,NO,Medium,501,True
1400000.0,1.0,1.0,484.0,Residential For Sale,Collective Tower 2,NO,Medium,460,True
2150000.0,1.0,1.0,779.0,Residential For Sale,Erin,NO,Medium,458,True
8785000.0,5.0,7.0,5789.0,Residential For Sale,Saadiyat Lagoons,NO,Luxury,478,True
455000.0,2.0,1.0,535.0,Residential For Sale,Celestia A,YES,low-economy,493,True
1900000.0,3.0,5.0,1881.0,Residential For Sale,Aurum Villas,NO,Medium,594,True
2900000.0,3.0,3.0,2385.0,Residential For Sale,Mira 5,NO,Medium,460,True
3250000.0,2.0,2.0,1098.0,Residential For Sale,Palace Residences,NO,Medium,537,True
3255000.0,2.0,3.0,1596.0,Residential For Sale,Aeternitas Tower,NO,Medium,556,False
9448437.5,5.0,6.0,5796.375,Residential For Sale,Frond P,NO,Luxury,467,True
3000000.0,4.0,5.0,2551.0,Residential For Sale,Mira Oasis 1,NO,Medium,464,True
7795000.0,3.0,2.0,3324.0,Residential For Sale,Savannah 1,NO,Luxury,454,True
950000.0,1.0,2.0,614.0,Residential For Sale,The East Crest by Meteora,PARTLY,low-economy,522,True
1100000.0,1.0,2.0,811.0,Residential For Sale,La Residenza,PARTLY,Medium,559,True
796516.0,2.0,1.0,463.0,Residential For Sale,Binghatti Hills,NO,low-economy,466,False
2517200.0,4.0,5.0,2107.0,Residential For Sale,Al Yasmeen,NO,Medium,452,False
9448437.5,5.0,6.0,5796.375,Residential For Sale,Address Hillcrest,NO,Luxury,481,True
3900000.0,2.0,2.0,1392.0,Residential For Sale,The Source II,NO,Medium,479,True
849666.0,2.0,1.0,370.0,Residential For Sale,AZIZI Riviera 37,NO,low-economy,544,True
1190000.0,1.0,2.0,828.0,Residential For Sale,Samana California,PARTLY,Medium,459,True
1300000.0,1.0,2.0,1071.0,Residential For Sale,Farhad Azizi Residence,YES,Medium,527,True
2275000.0,1.0,2.0,1036.0,Residential For Sale,Sobha Verde,NO,Medium,482,True
1300000.0,1.0,1.0,587.0,Residential For Sale,AZIZI Riviera 12,YES,Medium,527,True
9448437.5,6.0,7.0,5796.375,Residential For Sale,The Waterside Villas by Ellington,NO,Luxury,463,False
1250000.0,1.0,2.0,950.0,Residential For Sale,Binghatti Hills,NO,Medium,447,False
2150000.0,4.0,3.0,2275.0,Residential For Sale,Nice,PARTLY,Medium,460,True
4800000.0,4.0,5.0,3330.0,Residential For Sale,Naseem,NO,Medium,472,True
9448437.5,4.0,5.0,4466.0,Residential For Sale,Nikki Beach Resort and Spa Dubai,NO,Luxury,460,True
9448437.5,5.0,5.0,5796.375,Residential For Sale,Harmony,NO,Luxury,457,True
9448437.5,5.0,6.0,5436.0,Residential For Sale,Legacy,NO,Luxury,485,True
3550000.0,2.0,3.0,1663.0,Residential For Sale,Building 19,NO,Medium,473,True
3550000.0,2.0,2.0,1453.0,Residential For Sale,The Residences 1,NO,Medium,566,True
7650000.0,3.0,4.0,2039.0,Residential For Sale,Opera Grand,NO,Luxury,450,True
990000.0,1.0,2.0,692.0,Residential For Sale,Icon Tower 2,YES,low-economy,466,True
3700000.0,2.0,3.0,1467.0,Residential For Sale,Burj Vista 1,YES,Medium,450,True
5200000.0,3.0,3.0,2810.0,Residential For Sale,Executive Residences 1,NO,Luxury,460,True
2380000.0,3.0,6.0,2300.0,Residential For Sale,Sendian,PARTLY,Medium,461,False
665000.0,2.0,1.0,409.0,Residential For Sale,Celia Residence,NO,low-economy,471,True
3300000.0,4.0,4.0,2900.0,Residential For Sale,La Rosa 3,NO,Medium,461,True
460000.0,2.0,1.0,496.0,Residential For Sale,Lago Vista A,YES,low-economy,479,True
714000.0,2.0,2.0,1410.0,Residential For Sale,Al Amira Village,NO,low-economy,457,False
1400000.0,1.0,2.0,917.0,Residential For Sale,Sulafa Tower,NO,Medium,503,True
2800000.0,3.0,4.0,2044.0,Residential For Sale,Ruba,NO,Medium,465,True
4000000.0,4.0,6.0,4680.0,Residential For Sale,Mira Oasis 3,NO,Medium,517,True
3000000.0,1.0,1.0,730.0,Residential For Sale,Marina Vista,YES,Medium,459,True
4500000.0,4.0,5.0,3310.0,Residential For Sale,Al Andalus Tower A,NO,Medium,496,True
9448437.5,5.0,4.0,5796.375,Residential For Sale,Golf Place 2,NO,Luxury,487,True
639600.0,2.0,1.0,428.0,Residential For Sale,Binghatti Apex,NO,low-economy,451,False
608888.0,1.0,1.0,441.0,Residential For Sale,Golf Vita A,YES,low-economy,480,True
5200000.0,4.0,5.0,3410.0,Residential For Sale,Aura,NO,Luxury,453,True
2200000.0,2.0,2.0,1033.0,Residential For Sale,Park Horizon,NO,Medium,452,True
6000000.0,3.0,4.0,2850.0,Residential For Sale,Al Reem 2,NO,Luxury,458,True
9448437.5,5.0,6.0,4100.0,Residential For Sale,Meadows 3,NO,Luxury,450,True
6000000.0,4.0,6.0,4180.0,Residential For Sale,Picadilly Green,YES,Luxury,457,True
5250000.0,3.0,3.0,3380.0,Residential For Sale,Nad Al Sheba Gardens - Phase 4,NO,Luxury,451,True
9448437.5,6.0,7.0,5796.375,Residential For Sale,Jumeirah Park Homes,NO,Luxury,454,True
1350000.0,1.0,2.0,863.0,Residential For Sale,Lucky 1 Residence,NO,Medium,454,True
4900000.0,3.0,4.0,3248.0,Residential For Sale,Casa,NO,Medium,454,True
9448437.5,2.0,3.0,2287.0,Residential For Sale,Six Senses Residences,NO,Luxury,447,True
2100000.0,2.0,3.0,1406.0,Residential For Sale,Saba Tower 3,YES,Medium,494,True
2700000.0,3.0,4.0,2179.0,Residential For Sale,Bliss,NO,Medium,499,True
3700000.0,4.0,6.0,3724.0,Residential For Sale,District 10,NO,Medium,464,True
2960000.0,1.0,1.0,860.0,Residential For Sale,Marina Vista,NO,Medium,520,True
1200000.0,1.0,1.0,500.0,Residential For Sale,Golfville,NO,Medium,513,True
9448437.5,4.0,5.0,3046.0,Residential For Sale,La Vie,NO,Luxury,481,True
9448437.5,4.0,5.0,5796.375,Residential For Sale,Orla Infinity,NO,Luxury,495,True
432000.0,2.0,3.0,3014.0,Residential For Sale,Umm Al Quwain Marina Villas,NO,low-economy,457,False
2050000.0,4.0,5.0,1550.0,Residential For Sale,Nice,NO,Medium,615,False
2350000.0,4.0,5.0,2565.0,Residential For Sale,Kaya,NO,Medium,450,False
3900000.0,2.0,3.0,1095.0,Residential For Sale,Myrtle,NO,Medium,551,True
709000.0,1.0,2.0,760.0,Residential For Sale,Darb 4,YES,low-economy,493,False
7800000.0,4.0,5.0,4791.0,Residential For Sale,Ixora,NO,Luxury,536,True
4800000.0,4.0,6.0,4365.0,Residential For Sale,La Perla Homes 10,YES,Medium,495,True
9448437.5,4.0,6.0,5796.375,Residential For Sale,AVA at Palm Jumeirah By Omniyat,NO,Luxury,552,True
3000000.0,1.0,2.0,986.0,Residential For Sale,Armani Residence,YES,Medium,465,True
410000.0,2.0,1.0,413.0,Residential For Sale,Areej Apartments,PARTLY,low-economy,463,False
9448437.5,5.0,7.0,5796.375,Residential For Sale,Nad Al Sheba Gardens,NO,Luxury,467,True
9448437.5,6.0,7.0,5796.375,Residential For Sale,Frond K,NO,Luxury,452,False
3200000.0,1.0,1.0,915.0,Residential For Sale,La Vie,NO,Medium,452,True
2100000.0,1.0,2.0,836.0,Residential For Sale,29 Burj Boulevard Tower 1,NO,Medium,458,True
9448437.5,4.0,3.0,4099.0,Residential For Sale,Meadows 2,NO,Luxury,480,True
9448437.5,6.0,3.0,5796.375,Residential For Sale,Signature Villas Frond O,NO,Luxury,465,True
7700000.0,3.0,4.0,3324.0,Residential For Sale,Saheel,YES,Luxury,488,True
8000000.0,5.0,5.0,3908.0,Residential For Sale,Murooj Al Furjan,NO,Luxury,466,True
5950000.0,3.0,3.0,1650.0,Residential For Sale,Erin,NO,Luxury,459,True
2650000.0,3.0,3.0,1549.0,Residential For Sale,Bonnington Tower,NO,Medium,517,True
4300000.0,3.0,4.0,2270.0,Residential For Sale,Jash Hamad,NO,Medium,465,True
1195000.0,1.0,1.0,886.0,Residential For Sale,Orchid B,NO,Medium,527,True
4895000.0,3.0,3.0,2455.0,Residential For Sale,Springs 4,NO,Medium,523,True
7650000.0,4.0,5.0,4791.0,Residential For Sale,Ixora,NO,Luxury,451,True
1120000.0,1.0,2.0,933.0,Residential For Sale,Vista by Prestige One,NO,Medium,478,True
1550000.0,2.0,3.0,1376.0,Residential For Sale,Ras al Khaimah Gateway,NO,Medium,458,False
